type,instnm,zip,fips,lon,lat,enroltot,frlpct,csr,magnet,charter,advise_org_1,advise_org_2,advise_org_3,advise_org_4,advise_org_5,advise_org_6,advise_org_7,advise_div_1,advise_div_2,advise_div_3,advise_div_4,advise_div_5,advise_div_6,advise_div_7,advise_tri_1,advise_tri_2,advise_tri_3,advise_tri_4,advise_tri_5,advise_web_1,advise_web_2,advise_web_3,advise_web_4,advise_web_5,advise_web_6,advise_web_7
high school,Pacifica High,NA,6,-118.0133,33.7817,1756,34,439,0,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: California Lutheran University,NA,NA,NA,NA,NA,NA,"Upward Bound, Upward Bound Math & Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Rancho Alamitos High,NA,6,-117.98624,33.798874,1828,68,457,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Santiago High,NA,6,-117.91372,33.766174,2290,79,573,0,0,Early Academic Outreach Program,College Advising Corps,NA,NA,NA,NA,NA,UC Irvine EAOP,CAC: University of Southern California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.eaop.uci.edu/,http://cerpp.usc.edu/college-advising-program/,NA,NA,NA,NA,NA
high school,Central Valley High,NA,6,-122.37425,40.676727,760,65,380,0,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: Shasta Tehama Trinity Community College District,NA,NA,NA,NA,NA,NA,Upward Bound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Academy of Personalized Learning,NA,6,-122.35469,40.575779,474,61,484.01874490627546,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Geyserville New Tech Academy,NA,6,-122.89058,38.720264,NA,64,484.01874490627546,0,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: Sonoma State University,NA,NA,NA,NA,NA,NA,Upward Bound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Gilroy High,NA,6,-121.57607,36.99564,1415,61,484.01874490627546,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Dr. Tj Owens Gilroy Early College Academy,NA,6,-121.56979,36.972534,239,33,484.01874490627546,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Christopher High,NA,6,-121.60088,37.036839,1768,41,484.01874490627546,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Crescenta Valley High,NA,6,-118.24324,34.223606,2785,16,464,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
